text,label
Which films are playing in the neighbourhood ?,6
Play the top caleigh peters .,3
Find a movie called Dorothy and the Witches of Oz .,5
Add a song to ultimate indie,0
Play twenties symphony from Robert Walter,3
Assign three stars out of 6 to The Dune Encyclopedia,4
book a stracciatella provider coffeehouse for 10,1
Where does The Return of the Whistler play at the Bow Tie Cinemas at 030148 A.M.,6
Play a native us song on Last Fm,3
Does Wildorado have a hot temperature,2
Play a song off the Nicht Sprechen album,3
Play a seventies Tom Thacker ballad,3
play the top five songs by Isaac Hayes,3
Book me a popular restaurant reservation at a brazilian delicatessen,1
Is it going to storm in Black Rock Alaska,2
Find me the showtimes for Until Death at the nearest movie house .,6
Add a tune to the Calm Vibes playlist.,0
Play the best chant of 1975,3
What time will Paris by Night aired,6
find an album called Burnout The Ultimate Drag Race Challenge,5
Play Sound Of Love from Papa Mali,3
"Will it be hotter in Conception Junction , Moldova ?",2
The Forest should be rated a four,4
Tell me the closest movie house playing Black Rage,6
PLay some fourties music from Erin Harkes,3
find Casting Crowns discography,5
Where Can I watch Chaos and Desire ?,6
I rate three points for the book The Early Coorgs,4
play 1981 tunes by Jiles Perry Richardson on Lastfm for theme music,3
What is the closest cinema today playing animated movies ?,6
Add por tu maldito amor to my orgullo gay,0
play a tune from 2000 by Bronislau Kaper,3
add back porch spirituals to my Hit Remix playlist,0
Where can I listen to the soundtrack of Gibraltar Britain in the Sun,5
Add my favorite artist to the focus now playlist,0
Give the current essay five points / 6 .,4
find a TV show called Perfect Chemistry,5
What films and movie schedule are in the area,6
Give 4 points / 6 to Last Day in Limbo,4
Book me a table at The Fat Duck in Ireland,1
add track to All Out 70s,0
give four stars to current novel,4
Book a reservation for six for a tyrolean oyster bar,1
For the current chronicle I give five of 6,4
whats the weather in Blythewood Louisiana,2
add this tune to my It's a Southern Thing playlist,0
Play Making Out by Alexander Rosenbaum off Google Music .,3
give 0 out of 6 points to this essay,4
Put dschiwan gasparjan into the Cool Down playlist.,0
Find a book called The Echo Chamber .,5
put artist Harry Burleigh on classical new releases spotify picks,0
rate Six Months in Mexico 1 out of 6,4
Find movie schedules for Star Theatres .,6
I'm looking for an album called The Orchestrion Project .,5
Book me a reservation for Fatty Crew in 13 weeks in Haskell,1
Is Liberator playing at the IMAX Corporation at 11 ?,6
Please tell me the current and local movie times,6
book a restaurant for 4 by shawn's work close by,1
Find out what films are being played in the neighbourhood,6
Reserve a table for 7 at a cafeteria in Lafe city .,1
Will there be rainfall faraway from Uganda,2
Play Water Under The Bridge by Hariprasad Chaurasia .,3
I want to add Broken Hearted Melody to the playlist Post Garage Wave Revival,0
Play my Trabajo Relax playlist,3
search for a painting of The Wannadies,5
Play the playlist Grime Shutdown,3
Give the current novel 4 of 6 stars,4
What animated movies are at the closest movie theatre,6
Play The Great Adventures of Slick Rick game,5
what will the weather be like in Louisiana will it be colder then now,2
How cold is it in my current position ?,2
Play some thirties music on Netflix .,3
Where can I view the TV series of W.I.T.C.H.,5
play my De Camino playlist,3
What time is The Bride from Hell playing at Malco Theatres,6
find a movie house showing Cage Without a Key,6
Find the Cold Dead Hand video game for me,5
Tell me the weather for Sewickley at twelve am,2
Rate The First Death 1 stars,4
book for sherry and concepcion in Nunam Iqua at the best restaurant,1
"Reserve a table for 3 people at The Cubby Bear ,  in Comoros .",1
Give The Pirates! in an Adventure with Whaling a 0 out of 6 .,4
Book a reservation for six people at a churrascaria restaurant in Cook Islands one minute from now,1
add josefina pla to isabelle's Guest List GamesRadar playlist,0
"I need a restaurant booking for 2 people this month at a indian place in Climax Springs , New Mexico .",1
find Brandy in the Wilderness,6
I'm wondering if you can give me the movie times for films in the neighborhood .,6
Give this textbook 5 points,4
find animated movies at the nearest movie theatre,6
What's the weather forecast for here in august ?,2
add yang hyun seok to the playlist called night out,0
"find The Little Death , a soundtrack",5
book a spot at the food truck in MA,1
Find the movie schedule for Fox Theatres at supper time.,6
play a chant by Mike Jones,3
find Check In,5
Add Luiza Possi to my bachelor party playlist.,0
book a restaurant for four in Burundi,1
find a book called Tron Legacy Reconfigured,5
Reserve a table for 1 person in WI .,1
I give The Cat and the King 2 stars .,4
Add 100% te ljubam to the Hit Remix playlist,0
add this song to clarice's latino caliente playlist,0
rate The Key Word and Other Mysteries 4 of 6,4
Rate Mimi and the Biscuit Factory 5 out of 6,4
add this album by don reno to my playlist named indiespain,0
book a spot for 1 close to geraldine's house,1
"I rate the chronicle , Son of the Tree with four of 6 points .",4
Please find Brand New Strings,5
how much humidity in Mancos,2
play Sunshine Reggae on youtube,3
I'm looking for Paris Match,5
Is it warm in Botna,2
Play music in the genre soundtrack,3
add the artist gougoush to the Soul Revived playlist,0
Book a restaurant in FL in the city of Lochearn for my step son and I,1
Rate The Courtship of Princess Leia saga a two,4
what is the weather forecast for Piqua on Pearl Harbor Remembrance Day,2
I'm looking for the novel From a Scream to a Whisper,5
I want another track added to the Korean OSTs playlist.,0
I want to listen to Born On The Bayou on Iheart,3
please add this song to Madden NFL 16,0
Will it rain in Barberville,2
book me a restaurant in Ware Shoals that serves russian tea cake,1
I give The Vinyl Cafe Notebooks a 0 of 6,4
Play some music by Mutlu,3
Play a track by Titiyo,3
